data,arrivi,presenze
2013-01-01,23012,48088
2013-02-01,30264,57182
2013-03-01,52057,112057
2013-04-01,94812,243437
2013-05-01,208621,708573
2013-06-01,344264,1624453
2013-07-01,400550,2574733
2013-08-01,470719,3000724
2013-09-01,307395,1536801
2013-10-01,101708,382768
2013-11-01,40063,82510
2013-12-01,31712,63311
2014-01-01,31007,64677
2014-02-01,34943,66273
2014-03-01,48607,92942
2014-04-01,117839,294070
2014-05-01,211796,647498
2014-06-01,361225,1684343
2014-07-01,439528,2732458
2014-08-01,538372,3318154
2014-09-01,349523,1760446
2014-10-01,123126,433980
2014-11-01,41148,80532
2014-12-01,33156,59280
2015-01-01,31813,62542
2015-02-01,38374,72870
2015-03-01,51086,105362
2015-04-01,117821,293284
2015-05-01,248840,768142
2015-06-01,396154,1845692
2015-07-01,497341,3021622
2015-08-01,569919,3512317
2015-09-01,381587,1939476
2015-10-01,132698,478038
2015-11-01,39858,81286
2015-12-01,44497,75622
2016-01-01,35255,70193
2016-02-01,42378,76372
2016-03-01,64114,128108
2016-04-01,123530,292057
2016-05-01,260311,851674
2016-06-01,437809,2016137
2016-07-01,561120,3254912
2016-08-01,610780,3782262
2016-09-01,442871,2141911
2016-10-01,161964,591994
2016-11-01,47946,102668
2016-12-01,45775,84057
2017-01-01,37268,78039
2017-02-01,41774,81668
2017-03-01,54472,105556
2017-04-01,157732,382266
2017-05-01,287574,902498
2017-06-01,504013,2309525
2017-07-01,586179,3350143
2017-08-01,629319,3866045
2017-09-01,484890,2263211
2017-10-01,188628,712327
2017-11-01,53498,108803
2017-12-01,47943,87229
2018-01-01,38388,78817
2018-02-01,42989,86302
2018-03-01,72577,151527
2018-04-01,158339,403300
2018-05-01,337732,1140232
2018-06-01,532799,2394688
2018-07-01,602177,3474596
2018-08-01,649145,3932872
2018-09-01,525417,2394290
2018-10-01,185490,683378
2018-11-01,54668,113139
2018-12-01,49847,94311
2019-01-01,37748,79955
2019-02-01,41717,84514
2019-03-01,63787,124794
2019-04-01,187999,477461
2019-05-01,323511,1000629
2019-06-01,578883,2522250
2019-07-01,660676,3755544
2019-08-01,728584,4193556
2019-09-01,547407,2464278
2019-10-01,222917,780490
2019-11-01,62447,133248
2019-12-01,54900,102933
