X,Y,Name,description
9.594159,45.312171,Abbadia Cerreto,
9.334142,45.900483,Abbadia Lariana,
8.918542,45.400767,Abbiategrasso,
10.414677,45.307378,Acquafredda,
9.890868,45.17037,Acquanegra Cremonese,
10.43468,45.162475,Acquanegra sul Chiese,
9.94896,45.702284,Adrara San Martino,
9.95906,45.715784,Adrara San Rocco,
9.962661,45.617882,Adro,
9.557056,45.444374,Agnadello,
10.35267,45.649686,Agnosine,
8.768327,46.036681,Agra,
9.351449,45.577775,Agrate Brianza,
9.414949,45.639977,Aicurzio,
9.424247,45.75388,Airuno,
8.889846,45.169861,Alagna,
8.937442,45.419567,Albairate,
9.770656,45.686482,Albano Sant'Alessandro,
9.242955,45.106663,Albaredo Arnaboldi,
9.590044,46.10349,Albaredo per San Marco,
9.185041,45.800379,Albavilla,
9.16364,45.794879,Albese con Cassano,
9.256145,45.657076,Albiate,
9.796355,45.763784,Albino,
8.939235,45.805577,Albiolo,
8.801634,45.729174,Albizzate,
8.70664,45.292262,Albonese,
9.854049,46.147494,Albosaggia,
9.272754,45.187665,Albuzzano,
10.148172,45.266975,Alfianello,
9.722152,45.826185,Algua,
9.614151,45.735981,Alme,
9.582251,45.742681,Almenno San Bartolomeo,
9.596251,45.750182,Almenno San Salvatore,
9.200142,45.778879,Alserio,
9.728654,45.733382,Alzano Lombardo,
9.182041,45.769778,Alzate Brianza,
9.55015,45.71958,Ambivere,
9.473841,46.13599,Andalo Valtellino,
10.493771,45.76639,Anfo,
8.590028,45.777373,Angera,
10.147761,45.89139,Angolo Terme,
9.879466,45.244572,Annicco,
9.330444,45.802881,Annone di Brianza,
9.79146,45.486477,Antegnate,
9.195442,45.768478,Anzano del Parco,
8.978737,45.737576,Appiano Gentile,
10.151656,46.152697,Aprica,
9.614054,45.575577,Arcene,
8.868233,45.855778,Arcisate,
8.848538,45.54197,Arconate,
9.325547,45.626676,Arcore,
9.644944,46.164292,Ardenno,
9.931155,45.937489,Ardesio,
9.362458,45.096664,Arena Po,
9.076543,45.552272,Arese,
9.125637,45.942982,Argegno,
8.941541,45.50507,Arluno,
9.208043,45.716977,Arosio,
8.734633,45.688372,Arsago Seprio,
10.160962,45.849889,Artogne,
9.564155,45.481375,Arzago d'Adda,
10.413579,45.221076,Asola,
9.125647,45.408869,Assago,
9.269642,45.860581,Asso,
9.630547,45.988288,Averara,
9.771454,45.797584,Aviatico,
9.919666,45.313974,Azzanello,
10.117168,45.454579,Azzano Mella,
9.673054,45.65798,Azzano San Paolo,
8.793133,45.780375,Azzate,
8.708529,45.884677,Azzio,
10.111758,45.978892,Azzone,
9.46866,45.120865,Badia Pavese,
9.122557,44.827255,Bagnaria,
9.781057,45.660881,Bagnatica,
9.612958,45.361172,Bagnolo Cremasco,
10.18437,45.429079,Bagnolo Mella,
10.875391,45.089677,Bagnolo San Vito,
10.459469,45.825191,Bagolino,
9.423444,45.898184,Ballabio,
9.117244,45.527172,Baranzate,
8.756831,45.840476,Barasso,
10.054367,45.405077,Barbariga,
9.77736,45.474977,Barbata,
9.205155,45.076662,Barbianello,
8.696829,45.835975,Bardello,
8.999943,45.48767,Bareggio,
10.41217,45.681887,Barghe,
9.703658,45.512577,Bariano,
9.129742,45.654275,Barlassina,
9.26514,45.911283,Barni,
9.314244,45.755479,Barzago,
9.56735,45.735581,Barzana,
9.313045,45.735479,Barzano,
9.4666667,45.95,Barzio,
9.313453,45.308268,Bascape,
9.463251,45.582476,Basiano,
9.158548,45.359168,Basiglio,
10.12837,45.327176,Bassano Bresciano,
8.921549,45.039758,Bastida de' Dossi,
9.085152,45.086061,Bastida Pancarana,
9.078048,45.274665,Battuda,
8.79553,45.910878,Bedero Valcuvia,
10.423274,45.510383,Bedizzole,
9.551649,45.791382,Bedulita,
9.313756,45.158565,Belgioioso,
9.26198959350586,45.9874504092408,Bellagio,
9.306139,46.043286,Bellano,
9.445951,45.542075,Bellinzago Lombardo,
9.419049,45.619577,Bellusco,
9.564143,46.10819,Bema,
9.184136,46.028985,Bene Lario,
9.571049,45.814783,Berbenno,
9.745146,46.167793,Berbenno di Valtellina,
8.944136,45.780676,Beregazzo con Figliaro,
9.027347,45.257064,Bereguardo,
9.668953,45.697981,Bergamo,
10.043665,45.50298,Berlingo,
9.405049,45.647777,Bernareggio,
8.817639,45.477368,Bernate Ticino,
9.668062,45.23307,Bertonico,
10.3166667,46.1,Berzo Demo,
10.279663,45.930992,Berzo Inferiore,
9.903158,45.719384,Berzo San Fermo,
9.285945,45.703778,Besana in Brianza,
8.891033,45.888979,Besano,
8.969645,45.312965,Besate,
8.767734,45.697673,Besnate,
8.669228,45.851976,Besozzo,
8.71003,45.815075,Biandronno,
9.918158,45.773085,Bianzano,
10.109354,46.188197,Bianzone,
9.270446,45.629876,Biassono,
10.293363,45.935793,Bienno,
10.92499,45.20258,Bigarello,
8.922335,45.782176,Binago,
9.099048,45.331867,Binasco,
10.338869,45.672786,Bione,
8.868432,45.871478,Bisuschio,
8.942735,45.834278,Bizzarone,
9.571049,45.837784,Blello,
9.097536,45.959082,Blessagno,
9.105138,45.842179,Blevio,
8.750831,45.788675,Bodio Lomnago,
9.494156,45.359771,Boffalora d'Adda,
8.838539,45.467868,Boffalora sopra Ticino,
9.812858,45.635081,Bolgare,
9.120544,45.546472,Bollate,
9.578453,45.600878,Boltiere,
9.559751,45.68338,Bonate Sopra,
9.558652,45.668179,Bonate Sotto,
10.077473,45.11367,Bonemerse,
9.987268,45.292274,Bordolano,
9.14055,45.240665,Borgarello,
9.499259,45.214768,Borghetto Lodigiano,
9.890958,45.720784,Borgo di Terzo,
9.147955,44.966858,Borgo Priolo,
9.968467,45.346975,Borgo San Giacomo,
9.434956,45.277869,Borgo San Giovanni,
8.913345,45.235063,Borgo San Siro,
10.749289,45.051275,Borgoforte,
11.2093,45.046579,Borgofranco sul Po,
9.193257,44.930658,Borgoratto Mormorolo,
10.24107,45.480781,Borgosatollo,
10.372055,46.468407,Bormio,
9.217951,45.266566,Bornasco,
10.197861,45.945392,Borno,
9.290743,45.80228,Bosisio Parini,
9.358758,45.064463,Bosnasco,
10.045059,45.828388,Bossico,
9.506451,45.639878,Bottanuco,
10.301871,45.535983,Botticino,
10.273865,45.793289,Bovegno,
10.241268,45.591484,Bovezzo,
9.155644,45.609974,Bovisio-Masciago,
10.483982,45.102474,Bozzolo,
9.708752,45.823585,Bracca,
9.282362,44.738654,Brallo di Pregola,
10.052666,45.454178,Brandico,
9.75935,46.002489,Branzi,
10.342563,45.990794,Braone,
8.646228,45.827275,Brebbia,
8.687729,45.825775,Bregano,
9.05,45.7166667,Bregnano,
9.556553,45.604778,Brembate,
9.579451,45.716681,Brembate di Sopra,
9.595849,45.822183,Brembilla,
9.57146,45.214568,Brembio,
8.625641,45.127557,Breme,
9.187142,45.742978,Brenna,
10.304763,45.957793,Breno,
8.683728,45.894177,Brenta,
10.227269,45.524782,Brescia,
9.132653,45.078861,Bressana Bottarone,
9.197546,45.537873,Bresso,
